Vinicius;BHZ;REC;2 dias;1 estrelas;R$ 6276
Bruno;BHZ;SAO;1 dias;5 estrelas;R$ 2220
Vinicius;FOR;SSA;3 dias;3 estrelas;R$ 8040
Thiago;POA;MAO;2 dias;4 estrelas;R$ 6375
Felipe;SSA;NAT;5 dias;2 estrelas;R$ 7966
Gustavo;FOR;CWB;1 dias;5 estrelas;R$ 3334
Larissa;MAO;POA;3 dias;2 estrelas;R$ 6736
Juliana;FOR;MAO;1 dias;3 estrelas;R$ 7377
Mateus;FOR;SSA;1 dias;4 estrelas;R$ 9579
Fernando;BSB;RIO;2 dias;2 estrelas;R$ 3344
Fernando;CWB;PMW;5 dias;3 estrelas;R$ 2190
Rodrigo;REC;PMW;2 dias;5 estrelas;R$ 9233
Manuela;PMW;MAO;3 dias;3 estrelas;R$ 9294
Eduardo;POA;MAO;3 dias;3 estrelas;R$ 9918
Manuela;SSA;VIX;3 dias;3 estrelas;R$ 1359
Gustavo;PMW;REC;1 dias;5 estrelas;R$ 7798
Fernando;VIX;REC;5 dias;1 estrelas;R$ 6892
Eduardo;SSA;FOR;2 dias;4 estrelas;R$ 3866
Vinicius;POA;FOR;3 dias;5 estrelas;R$ 7713
Davi;RIO;SSA;4 dias;4 estrelas;R$ 9801
Maria;POA;PMW;3 dias;2 estrelas;R$ 4291
Clara;PMW;MAO;2 dias;4 estrelas;R$ 8879
Larissa;PMW;MAO;2 dias;1 estrelas;R$ 4518
Gustavo;BHZ;BSB;3 dias;2 estrelas;R$ 4652
Gustavo;PMW;FOR;4 dias;4 estrelas;R$ 2237
Leonardo;RIO;NAT;3 dias;4 estrelas;R$ 1946
Camila;MAO;FOR;3 dias;2 estrelas;R$ 6220
Gustavo;REC;VIX;1 dias;3 estrelas;R$ 5191
Davi;REC;SAO;1 dias;3 estrelas;R$ 6860
Larissa;NAT;BHZ;1 dias;4 estrelas;R$ 2070
Davi;NAT;FOR;3 dias;4 estrelas;R$ 7730
Natalia;RIO;POA;5 dias;3 estrelas;R$ 6639
Larissa;BHZ;BSB;1 dias;2 estrelas;R$ 6803
Gustavo;SSA;MAO;2 dias;5 estrelas;R$ 5187
Sophia;REC;NAT;4 dias;5 estrelas;R$ 9195
Vinicius;MAO;FOR;5 dias;1 estrelas;R$ 4190
Vitor;REC;SSA;5 dias;2 estrelas;R$ 3759
Davi;REC;BSB;2 dias;5 estrelas;R$ 9608
Beatriz;BHZ;BSB;2 dias;2 estrelas;R$ 3158
Vitor;VIX;REC;1 dias;4 estrelas;R$ 3280
Larissa;BSB;POA;2 dias;1 estrelas;R$ 6676
Felipe;SSA;MAO;3 dias;2 estrelas;R$ 9405
Vitor;RIO;SSA;4 dias;2 estrelas;R$ 5741
Vinicius;NAT;REC;5 dias;2 estrelas;R$ 8155
Isadora;BSB;SSA;1 dias;2 estrelas;R$ 9391
Rodrigo;BHZ;MAO;4 dias;4 estrelas;R$ 7859
Gabriel;SSA;MAO;4 dias;1 estrelas;R$ 4391
Laura;REC;SSA;5 dias;2 estrelas;R$ 1902
Gabriel;SSA;BSB;2 dias;5 estrelas;R$ 6923
Gustavo;CWB;FOR;3 dias;3 estrelas;R$ 8822
Rodrigo;SSA;FOR;5 dias;1 estrelas;R$ 8822
Larissa;POA;SAO;1 dias;1 estrelas;R$ 7473
Bruno;PMW;NAT;5 dias;1 estrelas;R$ 7614
Fernando;REC;BHZ;3 dias;1 estrelas;R$ 8063
Vinicius;REC;BHZ;1 dias;5 estrelas;R$ 3187
Anna;MAO;NAT;5 dias;3 estrelas;R$ 6866
Sophia;BSB;POA;3 dias;4 estrelas;R$ 5356
Laura;SAO;REC;3 dias;2 estrelas;R$ 4785
Mariana;NAT;MAO;3 dias;3 estrelas;R$ 1427
Mateus;BSB;MAO;1 dias;4 estrelas;R$ 8203
Mariana;MAO;BSB;3 dias;1 estrelas;R$ 5752
Natalia;CWB;BSB;5 dias;5 estrelas;R$ 6658
Maria;BSB;SSA;3 dias;1 estrelas;R$ 2166
Natalia;MAO;POA;3 dias;4 estrelas;R$ 4040
Gustavo;BSB;CWB;5 dias;3 estrelas;R$ 2356
Thiago;RIO;BSB;3 dias;4 estrelas;R$ 3094
Isabela;PMW;MAO;3 dias;1 estrelas;R$ 9511
Clara;POA;CWB;3 dias;3 estrelas;R$ 1069
Gabriel;VIX;SSA;1 dias;5 estrelas;R$ 7942
Manuela;PMW;RIO;2 dias;4 estrelas;R$ 7842
Fernando;MAO;SAO;3 dias;5 estrelas;R$ 8445
Anna;MAO;BHZ;4 dias;3 estrelas;R$ 4545
Fernando;NAT;FOR;2 dias;4 estrelas;R$ 1401
Lucas;CWB;MAO;2 dias;3 estrelas;R$ 6722
Pedro;FOR;SSA;2 dias;3 estrelas;R$ 7360
Thiago;FOR;RIO;3 dias;5 estrelas;R$ 7941
Mateus;POA;SSA;2 dias;1 estrelas;R$ 3651
Larissa;MAO;BSB;4 dias;1 estrelas;R$ 4071
Lucas;NAT;SAO;4 dias;5 estrelas;R$ 8543
Vinicius;POA;SSA;4 dias;1 estrelas;R$ 2808
Fernando;BHZ;SSA;1 dias;5 estrelas;R$ 7961
Maria;RIO;PMW;4 dias;3 estrelas;R$ 1957
Rafael;SSA;BSB;2 dias;4 estrelas;R$ 6009
Rodrigo;MAO;SAO;1 dias;2 estrelas;R$ 2431
Thiago;BHZ;POA;2 dias;3 estrelas;R$ 4580
Clara;RIO;SAO;3 dias;2 estrelas;R$ 9938
Laura;BHZ;SSA;3 dias;4 estrelas;R$ 8643
Davi;REC;NAT;2 dias;3 estrelas;R$ 6638
Sophia;CWB;NAT;5 dias;4 estrelas;R$ 6703
Rafael;NAT;REC;4 dias;3 estrelas;R$ 5806
Mariana;POA;CWB;3 dias;1 estrelas;R$ 6421
Mariana;VIX;PMW;4 dias;1 estrelas;R$ 8832
Juliana;MAO;REC;4 dias;3 estrelas;R$ 1838
Juliana;PMW;REC;1 dias;3 estrelas;R$ 2750
Gabriel;RIO;MAO;4 dias;4 estrelas;R$ 3407
Isadora;RIO;VIX;2 dias;4 estrelas;R$ 3263
Thiago;CWB;POA;3 dias;3 estrelas;R$ 6615
Anna;NAT;SAO;1 dias;4 estrelas;R$ 4568
Lucas;MAO;CWB;3 dias;3 estrelas;R$ 7910
Lucas;SSA;MAO;1 dias;5 estrelas;R$ 8440
